Pais,Camiseta,Nombre,Apellido,PJ,Goles,Minutos,Asistencias,Amarillas,Rojas,Faltas
Japon,22,nombre22,apellido22,4,1,360,0,0,0,1
Japon,23,nombre23,apellido23,3,1,300,0,0,0,2
Japon,24,nombre24,apellido24,4,3,360,0,0,0,3
Japon,25,nombre25,apellido25,5,0,450,0,0,0,0
Japon,26,nombre26,apellido26,3,3,270,0,0,0,2
Argentina,1,nombre1,apellido1,2,1,210,0,0,0,0
Argentina,2,nombre2,apellido2,4,1,360,0,1,0,0
Argentina,3,nombre3,apellido3,6,2,570,0,0,0,2
Argentina,4,nombre4,apellido4,3,3,300,0,0,0,0
Argentina,5,nombre5,apellido5,3,3,330,0,0,0,0
Argentina,6,nombre6,apellido6,2,0,180,0,1,0,0
Argentina,7,nombre7,apellido7,3,0,270,0,0,0,1
Argentina,8,nombre8,apellido8,0,0,0,0,0,0,0
Argentina,9,nombre9,apellido9,2,0,180,0,0,0,1
Argentina,10,nombre10,apellido10,5,1,510,0,0,0,0
Argentina,11,nombre11,apellido11,6,1,570,0,0,0,5
Argentina,12,nombre12,apellido12,1,0,90,0,0,0,0
Argentina,13,nombre13,apellido13,4,1,390,0,0,0,1
Argentina,14,nombre14,apellido14,5,2,510,0,0,0,1
Argentina,15,nombre15,apellido15,4,0,420,0,0,0,0
Argentina,16,nombre16,apellido16,6,2,570,0,0,0,1
Argentina,17,nombre17,apellido17,6,1,570,0,1,0,1
Argentina,18,nombre18,apellido18,2,2,210,0,0,0,0
Argentina,19,nombre19,apellido19,4,2,420,0,0,0,0
Argentina,20,nombre20,apellido20,6,5,570,0,0,0,1
Argentina,21,nombre21,apellido21,2,1,180,0,0,0,1
Argentina,22,nombre22,apellido22,3,0,270,0,1,0,0
Argentina,23,nombre23,apellido23,1,1,90,0,0,0,0
Argentina,24,nombre24,apellido24,3,0,300,0,1,0,1
Argentina,25,nombre25,apellido25,3,1,300,0,0,0,0
Argentina,26,nombre26,apellido26,2,2,210,0,0,0,0
Inglaterra,1,nombre1,apellido1,1,0,90,0,0,0,0
Inglaterra,2,nombre2,apellido2,2,0,180,0,0,0,1
Inglaterra,3,nombre3,apellido3,4,2,390,0,1,0,0
Inglaterra,4,nombre4,apellido4,2,1,210,0,1,0,0
Inglaterra,5,nombre5,apellido5,1,0,90,0,0,0,1
Inglaterra,6,nombre6,apellido6,3,0,270,0,0,0,1
Inglaterra,7,nombre7,apellido7,4,1,390,0,0,0,3
Inglaterra,8,nombre8,apellido8,3,0,300,0,0,0,0
Inglaterra,9,nombre9,apellido9,0,0,0,0,0,0,0
Inglaterra,10,nombre10,apellido10,1,0,90,0,0,0,0
Inglaterra,11,nombre11,apellido11,3,0,300,0,0,0,0
Inglaterra,12,nombre12,apellido12,4,0,360,0,1,0,1
Inglaterra,13,nombre13,apellido13,3,4,300,0,0,0,0
Inglaterra,14,nombre14,apellido14,1,0,90,0,0,0,0
Inglaterra,15,nombre15,apellido15,2,1,180,0,0,0,1
Inglaterra,16,nombre16,apellido16,1,1,90,0,0,0,0
Inglaterra,17,nombre17,apellido17,2,1,180,0,1,0,0
Inglaterra,18,nombre18,apellido18,1,1,120,0,0,0,0
Inglaterra,19,nombre19,apellido19,2,0,210,0,0,0,1
Inglaterra,20,nombre20,apellido20,1,0,90,0,0,0,1
Inglaterra,21,nombre21,apellido21,4,1,360,0,0,0,0
Inglaterra,22,nombre22,apellido22,1,1,90,0,0,0,1
Inglaterra,23,nombre23,apellido23,3,1,300,0,1,0,0
Inglaterra,24,nombre24,apellido24,4,2,390,0,0,0,0
Inglaterra,25,nombre25,apellido25,1,0,90,0,0,0,0
Inglaterra,26,nombre26,apellido26,1,0,120,0,0,0,0
Mexico,1,nombre1,apellido1,2,1,180,0,0,0,1
Mexico,2,nombre2,apellido2,2,1,180,0,0,0,1
Mexico,3,nombre3,apellido3,1,0,90,0,0,0,0
Mexico,4,nombre4,apellido4,0,0,0,0,0,0,0
Mexico,5,nombre5,apellido5,2,0,180,0,0,0,0
Mexico,6,nombre6,apellido6,2,0,180,0,0,0,2
Mexico,7,nombre7,apellido7,0,0,0,0,0,0,0
Mexico,8,nombre8,apellido8,1,0,90,0,0,0,0
Mexico,9,nombre9,apellido9,2,0,180,0,0,0,0
Mexico,10,nombre10,apellido10,1,0,90,0,0,0,1
Mexico,11,nombre11,apellido11,0,0,0,0,0,0,0
Mexico,12,nombre12,apellido12,0,0,0,0,0,0,0
Mexico,13,nombre13,apellido13,2,0,180,0,1,0,1
Mexico,14,nombre14,apellido14,2,1,180,0,0,0,2
Mexico,15,nombre15,apellido15,1,0,90,0,0,0,0
Mexico,16,nombre16,apellido16,2,2,180,0,0,0,0
Mexico,17,nombre17,apellido17,0,0,0,0,0,0,0
Mexico,18,nombre18,apellido18,1,0,90,0,0,0,1
Mexico,19,nombre19,apellido19,3,0,270,0,0,0,0
Mexico,20,nombre20,apellido20,2,1,180,0,0,0,1
Mexico,21,nombre21,apellido21,1,1,90,0,0,0,0
Mexico,22,nombre22,apellido22,1,0,90,0,0,0,1
Mexico,23,nombre23,apellido23,1,0,90,0,0,0,1
Mexico,24,nombre24,apellido24,1,0,90,0,0,0,0
Mexico,25,nombre25,apellido25,2,1,180,0,0,0,0
Mexico,26,nombre26,apellido26,1,0,90,0,0,0,0
Marruecos,1,nombre1,apellido1,3,0,300,0,0,0,2
Marruecos,2,nombre2,apellido2,3,1,300,0,0,0,0
Marruecos,3,nombre3,apellido3,3,0,270,0,0,0,1
Marruecos,4,nombre4,apellido4,2,0,180,0,0,0,1
Marruecos,5,nombre5,apellido5,5,4,480,0,0,0,0
Marruecos,6,nombre6,apellido6,2,1,180,0,0,0,0
Marruecos,7,nombre7,apellido7,1,0,90,0,0,0,0
Marruecos,8,nombre8,apellido8,4,0,390,0,0,0,0
Marruecos,9,nombre9,apellido9,1,0,90,0,0,0,0
Marruecos,10,nombre10,apellido10,2,0,180,0,0,0,0
Marruecos,11,nombre11,apellido11,5,1,480,0,0,0,1
Marruecos,12,nombre12,apellido12,2,0,180,0,0,0,0
Marruecos,13,nombre13,apellido13,2,2,180,0,0,0,0
Marruecos,14,nombre14,apellido14,4,0,360,0,0,0,0
Marruecos,15,nombre15,apellido15,4,2,390,0,0,0,1
Marruecos,16,nombre16,apellido16,2,1,210,0,0,0,0
Marruecos,17,nombre17,apellido17,2,1,180,0,0,0,0
Marruecos,18,nombre18,apellido18,3,0,300,0,0,0,1
Marruecos,19,nombre19,apellido19,0,0,0,0,0,0,0
Marruecos,20,nombre20,apellido20,5,2,480,0,0,0,1
Marruecos,21,nombre21,apellido21,3,1,300,0,0,0,0
Marruecos,22,nombre22,apellido22,0,0,0,0,0,0,0
Marruecos,23,nombre23,apellido23,4,0,360,0,1,0,0
Marruecos,24,nombre24,apellido24,0,0,0,0,0,0,0
Marruecos,25,nombre25,apellido25,0,0,0,0,0,0,0
Marruecos,26,nombre26,apellido26,4,3,390,0,1,0,0
Corea del Sur,1,nombre1,apellido1,3,2,270,0,0,0,0
Corea del Sur,2,nombre2,apellido2,2,0,210,0,0,0,1
Corea del Sur,3,nombre3,apellido3,2,0,180,0,0,0,0
Corea del Sur,4,nombre4,apellido4,4,1,390,0,0,0,0
Corea del Sur,5,nombre5,apellido5,1,0,90,0,1,0,0
Corea del Sur,6,nombre6,apellido6,1,0,90,0,0,0,0
Corea del Sur,7,nombre7,apellido7,2,1,210,0,0,0,1
Corea del Sur,8,nombre8,apellido8,2,0,210,0,0,0,1
Corea del Sur,9,nombre9,apellido9,3,1,270,0,0,0,1
Corea del Sur,10,nombre10,apellido10,2,0,180,0,0,0,1
Corea del Sur,11,nombre11,apellido11,4,2,390,0,0,0,2
Corea del Sur,12,nombre12,apellido12,4,1,390,0,0,0,1
Corea del Sur,13,nombre13,apellido13,3,0,300,0,0,0,1
Corea del Sur,14,nombre14,apellido14,1,0,90,0,0,0,0
Corea del Sur,15,nombre15,apellido15,2,0,180,0,0,0,0
Corea del Sur,16,nombre16,apellido16,5,2,480,0,0,0,2
Corea del Sur,17,nombre17,apellido17,1,0,90,0,0,0,0
Corea del Sur,18,nombre18,apellido18,3,2,270,0,0,0,0
Corea del Sur,19,nombre19,apellido19,3,0,270,0,1,0,1
Corea del Sur,20,nombre20,apellido20,1,1,120,0,0,0,0
Corea del Sur,21,nombre21,apellido21,1,0,90,0,0,0,0
Corea del Sur,22,nombre22,apellido22,2,1,210,0,1,0,0
Corea del Sur,23,nombre23,apellido23,3,1,270,0,1,0,0
Corea del Sur,24,nombre24,apellido24,4,0,360,0,1,0,0
Corea del Sur,25,nombre25,apellido25,4,3,360,0,0,0,0
Corea del Sur,26,nombre26,apellido26,3,2,300,0,0,0,1
Espana,1,nombre1,apellido1,5,1,510,0,0,0,1
Espana,2,nombre2,apellido2,4,0,390,0,0,0,0
Espana,3,nombre3,apellido3,5,1,510,0,0,0,0
Espana,4,nombre4,apellido4,2,3,180,0,0,0,0
Espana,5,nombre5,apellido5,1,0,120,0,0,0,0
Espana,6,nombre6,apellido6,4,2,420,0,0,0,0
Espana,7,nombre7,apellido7,3,1,270,0,0,0,1
Espana,8,nombre8,apellido8,4,3,420,0,0,0,1
Espana,9,nombre9,apellido9,5,1,540,0,0,0,0
Espana,10,nombre10,apellido10,2,0,210,0,0,0,1
Espana,11,nombre11,apellido11,4,1,420,0,1,0,1
Espana,12,nombre12,apellido12,2,0,240,0,0,0,0
Espana,13,nombre13,apellido13,1,0,90,0,0,0,0
Espana,14,nombre14,apellido14,3,1,300,0,0,0,1
Espana,15,nombre15,apellido15,3,0,360,0,1,0,1
Espana,16,nombre16,apellido16,4,0,420,0,1,0,0
Espana,17,nombre17,apellido17,6,7,630,0,0,0,1
Espana,18,nombre18,apellido18,3,1,300,0,0,0,1
Espana,19,nombre19,apellido19,5,3,570,0,1,0,1
Espana,20,nombre20,apellido20,2,1,240,0,0,0,0
Espana,21,nombre21,apellido21,3,1,330,0,0,0,0
Espana,22,nombre22,apellido22,5,3,540,0,0,0,0
Espana,23,nombre23,apellido23,2,0,180,0,0,0,1
Espana,24,nombre24,apellido24,3,1,300,0,1,0,1
Espana,25,nombre25,apellido25,3,0,300,0,1,0,2
Espana,26,nombre26,apellido26,4,2,450,0,1,0,1
Alemania,1,nombre1,apellido1,2,1,210,0,0,0,1
Alemania,2,nombre2,apellido2,4,4,390,0,0,0,0
Alemania,3,nombre3,apellido3,3,1,300,0,0,0,1
Alemania,4,nombre4,apellido4,2,1,180,0,0,0,1
Alemania,5,nombre5,apellido5,1,0,120,0,0,0,0
Alemania,6,nombre6,apellido6,2,0,210,0,1,0,0
Alemania,7,nombre7,apellido7,3,0,300,0,0,0,2
Alemania,8,nombre8,apellido8,3,1,330,0,1,0,1
Alemania,9,nombre9,apellido9,2,1,210,0,1,0,0
Alemania,10,nombre10,apellido10,2,0,210,0,0,0,1
Alemania,11,nombre11,apellido11,1,0,90,0,0,0,0
Alemania,12,nombre12,apellido12,3,0,330,0,0,0,1
Alemania,13,nombre13,apellido13,3,0,300,0,1,0,0
Alemania,14,nombre14,apellido14,3,0,300,0,0,0,0
Alemania,15,nombre15,apellido15,3,4,300,0,1,0,0
Alemania,16,nombre16,apellido16,3,1,300,0,1,0,2
Alemania,17,nombre17,apellido17,2,1,210,0,0,0,1
Alemania,18,nombre18,apellido18,1,0,90,0,0,0,0
Alemania,19,nombre19,apellido19,1,0,120,0,0,0,0
Alemania,20,nombre20,apellido20,0,0,0,0,0,0,0
Alemania,21,nombre21,apellido21,1,0,120,0,0,0,0
Alemania,22,nombre22,apellido22,2,0,180,0,0,0,1
Alemania,23,nombre23,apellido23,3,1,330,0,0,0,1
Alemania,24,nombre24,apellido24,1,0,90,0,0,0,0
Alemania,25,nombre25,apellido25,2,0,210,0,0,0,0
Alemania,26,nombre26,apellido26,2,0,180,0,0,0,0
Portugal,1,nombre1,apellido1,4,0,390,0,0,0,1
Portugal,2,nombre2,apellido2,1,1,90,0,0,0,1
Portugal,3,nombre3,apellido3,1,0,90,0,0,0,0
Portugal,4,nombre4,apellido4,0,0,0,0,0,0,0
Portugal,5,nombre5,apellido5,3,1,300,0,0,0,0
Portugal,6,nombre6,apellido6,3,1,270,0,0,0,2
Portugal,7,nombre7,apellido7,2,0,180,0,0,0,0
Portugal,8,nombre8,apellido8,3,2,270,0,0,0,1
Portugal,9,nombre9,apellido9,3,2,300,0,1,0,1
Portugal,10,nombre10,apellido10,1,1,90,0,0,0,1
Portugal,11,nombre11,apellido11,2,0,210,0,0,0,0
Portugal,12,nombre12,apellido12,3,0,300,0,0,0,1
Portugal,13,nombre13,apellido13,3,2,270,0,0,0,0
Portugal,14,nombre14,apellido14,2,2,180,0,0,0,1
Portugal,15,nombre15,apellido15,3,1,270,0,1,0,0
Portugal,16,nombre16,apellido16,1,0,120,0,0,0,0
Portugal,17,nombre17,apellido17,2,0,210,0,1,0,0
Portugal,18,nombre18,apellido18,2,0,210,0,0,0,0
Portugal,19,nombre19,apellido19,4,2,390,0,0,0,2
Portugal,20,nombre20,apellido20,3,0,270,0,0,0,0
Portugal,21,nombre21,apellido21,2,0,180,0,0,0,1
Portugal,22,nombre22,apellido22,1,1,120,0,0,0,1
Portugal,23,nombre23,apellido23,1,0,120,0,0,0,0
Portugal,24,nombre24,apellido24,2,0,180,0,0,0,0
Portugal,25,nombre25,apellido25,3,0,270,0,0,0,0
Portugal,26,nombre26,apellido26,0,0,0,0,0,0,0
Croacia,1,nombre1,apellido1,1,0,90,0,0,0,1
Croacia,2,nombre2,apellido2,2,0,210,0,0,0,0
Croacia,3,nombre3,apellido3,1,0,90,0,0,0,0
Croacia,4,nombre4,apellido4,1,0,90,0,0,0,0
Croacia,5,nombre5,apellido5,0,0,0,0,0,0,0
Croacia,6,nombre6,apellido6,1,0,90,0,0,0,0
Croacia,7,nombre7,apellido7,1,0,120,0,0,0,0
Croacia,8,nombre8,apellido8,2,1,180,0,0,0,0
Croacia,9,nombre9,apellido9,3,0,300,0,0,0,1
Croacia,10,nombre10,apellido10,2,0,180,0,0,0,0
Croacia,11,nombre11,apellido11,4,3,390,0,0,0,1
Croacia,12,nombre12,apellido12,0,0,0,0,0,0,0
Croacia,13,nombre13,apellido13,2,0,210,0,0,0,1
Croacia,14,nombre14,apellido14,1,1,90,0,0,0,0
Croacia,15,nombre15,apellido15,1,0,120,0,0,0,0
Croacia,16,nombre16,apellido16,3,1,300,0,2,0,0
Croacia,17,nombre17,apellido17,2,0,180,0,0,0,2
Croacia,18,nombre18,apellido18,1,0,120,0,0,0,1
Croacia,19,nombre19,apellido19,3,0,300,0,0,0,1
Croacia,20,nombre20,apellido20,1,1,90,0,0,0,1
Croacia,21,nombre21,apellido21,0,0,0,0,0,0,0
Croacia,22,nombre22,apellido22,3,2,270,0,0,0,1
Croacia,23,nombre23,apellido23,3,1,270,0,1,0,1
Croacia,24,nombre24,apellido24,2,1,210,0,0,0,2
Croacia,25,nombre25,apellido25,3,1,300,0,0,0,0
Croacia,26,nombre26,apellido26,1,0,90,0,0,0,0
Uruguay,1,nombre1,apellido1,1,0,90,0,1,0,0
Uruguay,2,nombre2,apellido2,0,0,0,0,0,0,0
Uruguay,3,nombre3,apellido3,2,1,180,0,0,0,1
Uruguay,4,nombre4,apellido4,2,0,210,0,0,0,0
Uruguay,5,nombre5,apellido5,1,0,120,0,0,0,1
Uruguay,6,nombre6,apellido6,1,1,120,0,0,0,0
Uruguay,7,nombre7,apellido7,3,0,300,0,0,0,1
Uruguay,8,nombre8,apellido8,3,0,270,0,0,0,0
Uruguay,9,nombre9,apellido9,2,0,180,0,0,0,1
Uruguay,10,nombre10,apellido10,3,2,300,0,1,0,2
Uruguay,11,nombre11,apellido11,1,0,120,0,0,0,1
Uruguay,12,nombre12,apellido12,1,0,90,0,0,0,0
Uruguay,13,nombre13,apellido13,1,0,90,0,0,0,1
Uruguay,14,nombre14,apellido14,3,0,270,0,1,0,0
Uruguay,15,nombre15,apellido15,3,0,270,0,0,0,0
Uruguay,16,nombre16,apellido16,2,1,210,0,1,0,1
Uruguay,17,nombre17,apellido17,2,1,180,0,0,0,0
Uruguay,18,nombre18,apellido18,3,1,300,0,1,0,2
Uruguay,19,nombre19,apellido19,1,0,90,0,0,0,0
Uruguay,20,nombre20,apellido20,0,0,0,0,0,0,0
Uruguay,21,nombre21,apellido21,2,1,180,0,0,0,1
Uruguay,22,nombre22,apellido22,3,1,300,0,1,0,1
Uruguay,23,nombre23,apellido23,2,2,210,0,0,0,0
Uruguay,24,nombre24,apellido24,2,2,210,0,0,0,0
Uruguay,25,nombre25,apellido25,0,0,0,0,0,0,0
Uruguay,26,nombre26,apellido26,0,0,0,0,0,0,0
Canada,1,nombre1,apellido1,2,1,180,0,0,0,0
Canada,2,nombre2,apellido2,1,1,90,0,0,0,0
Canada,3,nombre3,apellido3,2,0,180,0,0,0,0
Canada,4,nombre4,apellido4,3,1,270,0,1,0,1
Canada,5,nombre5,apellido5,1,0,90,0,0,0,0
Canada,6,nombre6,apellido6,2,0,180,0,0,0,0
Canada,7,nombre7,apellido7,1,0,90,0,0,0,1
Canada,8,nombre8,apellido8,3,0,270,0,0,0,0
Canada,9,nombre9,apellido9,0,0,0,0,0,0,0
Canada,10,nombre10,apellido10,2,1,180,0,0,0,0
Canada,11,nombre11,apellido11,2,2,180,0,0,0,0
Canada,12,nombre12,apellido12,0,0,0,0,0,0,0
Canada,13,nombre13,apellido13,1,0,90,0,0,0,0
Canada,14,nombre14,apellido14,3,1,270,0,0,0,1
Canada,15,nombre15,apellido15,2,1,180,0,0,0,0
Canada,16,nombre16,apellido16,3,2,270,0,2,0,1
Canada,17,nombre17,apellido17,0,0,0,0,0,0,0
Canada,18,nombre18,apellido18,3,0,270,0,0,0,1
Canada,19,nombre19,apellido19,1,1,90,0,1,0,1
Canada,20,nombre20,apellido20,0,0,0,0,0,0,0
Canada,21,nombre21,apellido21,1,0,90,0,0,0,0
Canada,22,nombre22,apellido22,3,1,270,0,0,0,0
Canada,23,nombre23,apellido23,3,0,270,0,0,0,0
Canada,24,nombre24,apellido24,1,0,90,0,1,0,0
Canada,25,nombre25,apellido25,1,0,90,0,0,0,0
Canada,26,nombre26,apellido26,3,0,270,0,1,0,0
Egipto,1,nombre1,apellido1,0,0,0,0,0,0,0
Egipto,2,nombre2,apellido2,1,1,90,0,0,0,0
Egipto,3,nombre3,apellido3,1,0,90,0,0,0,0
Egipto,4,nombre4,apellido4,0,0,0,0,0,0,0
Egipto,5,nombre5,apellido5,2,1,180,0,0,0,0
Egipto,6,nombre6,apellido6,2,0,180,0,0,0,0
Egipto,7,nombre7,apellido7,3,2,270,0,1,0,0
Egipto,8,nombre8,apellido8,1,0,90,0,0,0,0
Egipto,9,nombre9,apellido9,2,0,180,0,0,0,1
Egipto,10,nombre10,apellido10,2,0,180,0,0,0,0
Egipto,11,nombre11,apellido11,2,0,180,0,0,0,0
Egipto,12,nombre12,apellido12,0,0,0,0,0,0,0
Egipto,13,nombre13,apellido13,1,1,90,0,0,0,0
Egipto,14,nombre14,apellido14,2,0,180,0,0,0,0
Egipto,15,nombre15,apellido15,1,0,90,0,0,0,0
Egipto,16,nombre16,apellido16,1,1,90,0,0,0,0
Egipto,17,nombre17,apellido17,2,0,180,0,0,0,1
Egipto,18,nombre18,apellido18,1,0,90,0,0,0,0
Egipto,19,nombre19,apellido19,1,0,90,0,0,0,0
Egipto,20,nombre20,apellido20,1,0,90,0,1,0,0
Egipto,21,nombre21,apellido21,2,0,180,0,0,0,0
Egipto,22,nombre22,apellido22,1,0,90,0,0,0,0
Egipto,23,nombre23,apellido23,1,0,90,0,0,0,0
Egipto,24,nombre24,apellido24,1,0,90,0,0,0,0
Egipto,25,nombre25,apellido25,1,0,90,0,0,0,0
Egipto,26,nombre26,apellido26,1,0,90,0,0,0,0
Australia,1,nombre1,apellido1,1,0,120,0,0,0,0
